Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Gekko,Initiator,0.97,14.3,14.7,5.2,52.6,5.0,199,0.1,14022
2,Astra,Controller,1.06,15.1,14.1,6,51.3,2.3,209,0.2,6398
3,Brimstone,Controller,0.98,14.4,14.6,7.7,51.3,4.6,208,0.1,12906
4,Phoenix,Duelist,1.15,17.5,15.3,4.9,51.1,3.7,248,0.1,10394
5,Reyna,Duelist,1.2,18.3,15.3,4.8,51.1,12.3,259,0.1,34330
6,Killjoy,Sentinel,0.99,13.9,14,4.2,50.7,5.9,201,0.2,16549
7,Sova,Initiator,1,14.5,14.6,5.6,50.3,3.1,208,0.1,8578
8,Jett,Duelist,1.13,17.5,15.5,4,50.1,8.4,246,0.1,23405
9,Sage,Sentinel,0.9,13.2,14.7,7.1,50.0,10.7,188,0.1,29784
10,Raze,Duelist,1.06,16.6,15.6,5.1,49.9,5.4,243,0.1,15158
11,Fade,Initiator,0.95,14.3,15,6.4,49.8,5.4,202,0.1,15016
12,Viper,Controller,0.99,14.4,14.5,5.9,49.7,5.7,205,0.1,16001
13,Omen,Controller,0.98,14.8,15.1,6.1,48.9,4.7,209,0.1,13099
14,Chamber,Sentinel,1.1,16,14.6,3.3,48.7,3.0,221,0.1,8492
15,Neon,Duelist,1.03,16.5,16,4.4,48.7,2.5,235,0.1,6996
16,Cypher,Sentinel,1,14.4,14.3,5.1,48.6,3.7,200,0.1,10343
17,Skye,Initiator,0.93,13.9,15,7.7,47.8,3.8,199,0.1,10616
18,Breach,Initiator,0.95,14.6,15.3,6.3,47.4,1.8,208,0.1,5114
19,KAY/O,Initiator,0.92,14.1,15.3,8.4,46.7,3.3,205,0.1,9236
20,Yoru,Duelist,1.03,15.9,15.5,4.4,46.6,2.0,226,0.1,5499
21,Harbor,Controller,0.89,13.5,15.1,5.9,46.5,2.5,189,0.1,6994